simple_loss,simple_accuracy,simple_val_loss,simple_val_accuracy,two_layers_loss,two_layers_accuracy,two_layers_val_loss,two_layers_val_accuracy,bigger_loss,bigger_accuracy,bigger_val_loss,bigger_val_accuracy
0.6291833519935608,0.6567164063453674,0.5956620573997498,0.6859999895095825,0.7033135294914246,0.5844936370849609,0.6306933164596558,0.652999997138977,0.6892911791801453,0.5544926524162292,0.6790059804916382,0.5465999841690063
0.6135966777801514,0.6650806665420532,0.5729808807373047,0.7085999846458435,0.6346662044525146,0.6453471183776855,0.5871102809906006,0.7026000022888184,0.6404435038566589,0.6299208402633667,0.587486743927002,0.6944000124931335
0.6014565825462341,0.6715916991233826,0.5439886450767517,0.7360000014305115,0.598098874092102,0.6803064942359924,0.5431722402572632,0.7314000129699707,0.5698172450065613,0.7048982977867126,0.4954698383808136,0.7684000134468079
0.5934740304946899,0.6799058318138123,0.5706610679626465,0.6990000009536743,0.567736804485321,0.7093058228492737,0.5056337118148804,0.7577999830245972,0.5432668328285217,0.7236301898956299,0.49574369192123413,0.7634000182151794
0.5863465666770935,0.6893218755722046,0.5381161570549011,0.7324000000953674,0.5546045899391174,0.7150155305862427,0.49060556292533875,0.7663999795913696,0.5148057341575623,0.7457678318023682,0.4457762837409973,0.7878000140190125
0.5822156667709351,0.6956325769424438,0.5314316749572754,0.7423999905586243,0.5390042662620544,0.7236301898956299,0.5020286440849304,0.7626000046730042,0.5002790689468384,0.7554843425750732,0.46923428773880005,0.772599995136261
0.5760276317596436,0.6985875964164734,0.5360454320907593,0.7414000034332275,0.5292509198188782,0.7364519834518433,0.4616237282752991,0.7906000018119812,0.47511252760887146,0.776920735836029,0.4178130328655243,0.8087999820709229
0.5735762715339661,0.7039967775344849,0.5281171202659607,0.7472000122070312,0.513950526714325,0.7460182309150696,0.4384401738643646,0.7990000247955322,0.45397689938545227,0.7857858538627625,0.37646666169166565,0.8342000246047974
0.5707297325134277,0.7013923525810242,0.5445799231529236,0.725600004196167,0.5071085095405579,0.7495241761207581,0.45728760957717896,0.7839999794960022,0.4254553020000458,0.8004106879234314,0.3402274549007416,0.853600025177002
0.5613694190979004,0.7104076743125916,0.5407968163490295,0.7396000027656555,0.49584507942199707,0.7605929970741272,0.427656352519989,0.8046000003814697,0.4127345085144043,0.811028778553009,0.3576873540878296,0.8434000015258789
